en_query	cs_query	en_parse	cs_parse	domain
Active the timer after the NBA final game	NBA final game ke baad timer ko chalu karen	[IN:UNSUPPORTED_TIMER Active the [SL:METHOD_TIMER timer ] after the NBA final game ]	[IN:UNSUPPORTED_TIMER NBA final game ke baad [SL:METHOD_TIMER timer ] ko chalu karen ]	timer
cancel alarm	Alarm cancel kare	[IN:DELETE_ALARM cancel alarm ]	[IN:DELETE_ALARM Alarm cancel kare ]	alarm
Art exhibits Omaha next month	Next month Omaha me art exhibits	[IN:GET_EVENT [SL:CATEGORY_EVENT Art exhibits ] [SL:LOCATION Omaha ] [SL:DATE_TIME next month ] ]	[IN:GET_EVENT [SL:DATE_TIME Next month ] [SL:LOCATION Omaha ] me [SL:CATEGORY_EVENT art exhibits ] ]	event
what ' s going on in provo	provo mein kya chal raha hai	[IN:GET_EVENT what ' s going on in [SL:LOCATION provo ] ]	[IN:GET_EVENT [SL:LOCATION provo ] mein kya chal raha hai ]	event
Send an audio over to Ron .	Ron ko ek audio bhejen	[IN:SEND_MESSAGE Send an [SL:TYPE_CONTENT audio ] over to [SL:RECIPIENT Ron ] . ]	[IN:SEND_MESSAGE [SL:RECIPIENT Ron ] ko ek [SL:TYPE_CONTENT audio ] bhejen ]	messaging
Tell me about the traffic between Columbus and Phenix City	Muje Columbus aur Phenix City ke beech ki traffic ke baare me bataye	[IN:GET_INFO_TRAFFIC Tell me about the traffic between [SL:SOURCE Columbus ] and [SL:DESTINATION Phenix City ] ]	[IN:GET_INFO_TRAFFIC Muje [SL:SOURCE Columbus ] aur [SL:DESTINATION Phenix City ] ke beech ki traffic ke baare me bataye ]	navigation
Where is the next line dancing event in Riverside	Riverside par agla line dancing kaha hoga	[IN:GET_EVENT Where is the [SL:ORDINAL next ] [SL:CATEGORY_EVENT line dancing ] event in [SL:LOCATION Riverside ] ]	[IN:GET_EVENT [SL:LOCATION Riverside ] par [SL:ORDINAL agla ] [SL:CATEGORY_EVENT line dancing ] kaha hoga ]	event
how many hours is a flight from PDX to LAX	PDX se LAX tak ki flight kitne ghante ki hai	[IN:GET_ESTIMATED_DURATION how many hours is a [SL:METHOD_TRAVEL flight ] from [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP PDX ] ] ] to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP LAX ] ] ] ]	[IN:GET_ESTIMATED_DURATION [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP PDX ] ] ] se [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP LAX ] ] ] tak ki [SL:METHOD_TRAVEL flight ] kitne ghante ki hai ]	navigation
Take three minutes off the timer	three minutes ke baad timer ko band kardo	[IN:SUBTRACT_TIME_TIMER Take [SL:DATE_TIME three minutes ] off the [SL:METHOD_TIMER timer ] ]	[IN:SUBTRACT_TIME_TIMER [SL:DATE_TIME three minutes ] ke baad [SL:METHOD_TIMER timer ] ko band kardo ]	timer
i want to hear some rock music on pandora please	Me please pandora par kuch rock music sun na chahta hu	[IN:PLAY_MUSIC i want to hear some [SL:MUSIC_GENRE rock ] [SL:MUSIC_TYPE music ] on [SL:MUSIC_PROVIDER_NAME pandora ] please ]	[IN:PLAY_MUSIC Me please [SL:MUSIC_PROVIDER_NAME pandora ] par kuch [SL:MUSIC_GENRE rock ] [SL:MUSIC_TYPE music ] sun na chahta hu ]	music
Remind me this afternoon to check the date and location of the art event coming up .	mujhe is afternoon aane waale art event ke date aur location check karne ke liye yaad dilaye	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME this afternoon ] to [SL:TODO check the date and location of the art event coming up ] . ]	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mujhe ] [SL:DATE_TIME is afternoon ] [SL:TODO aane waale art event ke date aur location check karne ke liye ] yaad dilaye ]	reminder
Remind mom to pick me up at 5 pm .	5 pm ko mujhe pick karne ke liye mom ko yaad dilayen	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:TYPE_RELATION mom ] ] ] to [SL:TODO pick me up ] [SL:DATE_TIME at 5 pm ] . ]	[IN:CREATE_REMINDER [SL:DATE_TIME 5 pm ko ] [SL:TODO mujhe pick karne ke liye ] [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:TYPE_RELATION mom ] ] ] ko yaad dilayen ]	reminder
What is the traffic conditions in Akron	Akron me traffic ki conditions kya he	[IN:GET_INFO_TRAFFIC What is the traffic conditions in [SL:LOCATION Akron ] ]	[IN:GET_INFO_TRAFFIC [SL:LOCATION Akron ] me traffic ki conditions kya he ]	navigation
Create an alarm called ' meditate ' for every Sunday evening	Har Sunday evening ke liye meditate naam ek alarm ko create karen	[IN:CREATE_ALARM Create an alarm called ' [SL:ALARM_NAME meditate ] ' [SL:DATE_TIME_RECURRING for every Sunday evening ] ]	[IN:CREATE_ALARM [SL:DATE_TIME_RECURRING Har Sunday evening ke liye ] [SL:ALARM_NAME meditate ] naam ek alarm ko create karen ]	alarm
Can you update me about the weather please	Kya aap muje weather ke baare me update de sakte he	[IN:GET_WEATHER Can you update me about the weather please ]	[IN:GET_WEATHER Kya aap muje weather ke baare me update de sakte he ]	weather
Is there any ice on my commute this morning ?	kya aj subah mere commute par koi barf hai	[IN:GET_INFO_ROAD_CONDITION Is there any [SL:ROAD_CONDITION ice ] on [SL:PATH my commute ] [SL:DATE_TIME this morning ] ? ]	[IN:GET_INFO_ROAD_CONDITION kya [SL:DATE_TIME aj subah ] [SL:PATH mere commute ] par koi [SL:ROAD_CONDITION barf ] hai ]	navigation
I don ' t need my reminder for later anymore .	mujhe ab baad ke liye mere reminder ki zarurat nae hai	[IN:DELETE_REMINDER I don ' t need [SL:PERSON_REMINDED my ] reminder for later anymore . ]	[IN:DELETE_REMINDER mujhe ab baad ke liye [SL:PERSON_REMINDED mere ] reminder ki zarurat nae hai ]	reminder
Japan ' s weather , please	Please japan ka weather bataye	[IN:GET_WEATHER [SL:LOCATION Japan ] ' s weather , please ]	[IN:GET_WEATHER Please [SL:LOCATION japan ] ka weather bataye ]	weather
Text Jasmine on Messenger	Jasmine ko messenger par text karo	[IN:SEND_MESSAGE Text [SL:RECIPIENT Jasmine ] on [SL:RESOURCE Messenger ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT Jasmine ] ko [SL:RESOURCE messenger ] par text karo ]	messaging
is it going to be hot tomorrow	Kya kal yaha hot hone wala hai	[IN:GET_WEATHER is it going to be [SL:WEATHER_ATTRIBUTE hot ] [SL:DATE_TIME tomorrow ] ]	[IN:GET_WEATHER Kya [SL:DATE_TIME kal ] yaha [SL:WEATHER_ATTRIBUTE hot ] hone wala hai ]	weather
Delete all my Tuesday ' s alarms	mere saarey tuesday ke alarms delete kariye	[IN:DELETE_ALARM Delete [SL:AMOUNT all ] my [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME Tuesday ] ] ] ' s alarms ]	[IN:DELETE_ALARM mere [SL:AMOUNT saarey ] [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME tuesday ] ] ] ke alarms delete kariye ]	alarm
Setup alarms for saturday and sunday at midday	alarms set up kariye for saturday and sunday at midday	[IN:CREATE_ALARM Setup alarms [SL:DATE_TIME for saturday and sunday at midday ] ]	[IN:CREATE_ALARM alarms set up kariye [SL:DATE_TIME for saturday and sunday at midday ] ]	alarm
Show me my alarms for tonight	Mujhe aaj raat ke liye mere alarms dikhao	[IN:GET_ALARM Show me my alarms [SL:DATE_TIME for tonight ] ]	[IN:GET_ALARM Mujhe [SL:DATE_TIME aaj raat ke liye ] mere alarms dikhao ]	alarm
Temperature in San Francisco C	San Francisco me temperature C he	[IN:GET_WEATHER Temperature in [SL:LOCATION San Francisco ] [SL:WEATHER_TEMPERATURE_UNIT C ] ]	[IN:GET_WEATHER [SL:LOCATION San Francisco ] me temperature [SL:WEATHER_TEMPERATURE_UNIT C ] he ]	weather
set alarm for 7 : 00 pm	7: 00 pm ke liye alarm set kariye	[IN:CREATE_ALARM set alarm [SL:DATE_TIME for 7 : 00 pm ] ]	[IN:CREATE_ALARM [SL:DATE_TIME 7: 00 pm ke liye ] alarm set kariye ]	alarm
At what time does the train pass through the west elm street	train kya time par west elm street se guzarti hai	[IN:UNSUPPORTED_NAVIGATION At what time does the train pass through the west elm street ]	[IN:UNSUPPORTED_NAVIGATION train kya time par west elm street se guzarti hai ]	navigation
reminder to pick up Elena from preschool at noon	Elena ko preschool se pickup karne ka reminder at noon	[IN:CREATE_REMINDER reminder to [SL:TODO pick up Elena from preschool ] [SL:DATE_TIME at noon ] ]	[IN:CREATE_REMINDER [SL:TODO Elena ko preschool se pickup karne ] ka reminder [SL:DATE_TIME at noon ] ]	reminder
send a message to Apple Inc that the charity event is set for December 2	Apple Inc ko message karo ki the charity event is set for December 2	[IN:SEND_MESSAGE send a message to [SL:RECIPIENT Apple Inc ] that [SL:CONTENT_EXACT the charity event is set for December 2 ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT Apple Inc ] ko message karo ki [SL:CONTENT_EXACT the charity event is set for December 2 ] ]	messaging
Perfect day for skiing , isn ' t it ?	skiing karne ka perfect din , hai na ?	[IN:UNSUPPORTED_WEATHER Perfect day for skiing , isn ' t it ? ]	[IN:UNSUPPORTED_WEATHER skiing karne ka perfect din , hai na ? ]	weather
How is the traffic from Vegas to Mesquite	Vegas se Mesquite tak ka traffic kaisa hai	[IN:GET_INFO_TRAFFIC How is the traffic from [SL:SOURCE Vegas ] to [SL:DESTINATION Mesquite ] ]	[IN:GET_INFO_TRAFFIC [SL:SOURCE Vegas ] se [SL:DESTINATION Mesquite ] tak ka traffic kaisa hai ]	navigation
You should set an alarm for 10 p . m .	10 p . m ke liye tumhe alarm set karna chahiye	[IN:CREATE_ALARM You should set an alarm [SL:DATE_TIME for 10 p . m ] . ]	[IN:CREATE_ALARM [SL:DATE_TIME 10 p . m ke liye ] tumhe alarm set karna chahiye ]	alarm
play that last song for me again .	mere liye wo last song fir se bajao	[IN:PREVIOUS_TRACK_MUSIC play that [SL:ORDINAL last ] [SL:MUSIC_TYPE song ] for me again . ]	[IN:PREVIOUS_TRACK_MUSIC mere liye wo [SL:ORDINAL last ] [SL:MUSIC_TYPE song ] fir se bajao ]	music
what time is sunrise tomorrow morning	Kal subah sunrise ka time kya he	[IN:GET_SUNRISE what time is sunrise [SL:DATE_TIME tomorrow morning ] ]	[IN:GET_SUNRISE [SL:DATE_TIME Kal subah ] sunrise ka time kya he ]	weather
Will I make it to Fontana before 9 am if I leave in the next 15 minutes ?	Agar mai agle 15 minutes me nikal jaoon to kya mai 9 am se pehle Fontana pahunch jaoonga	[IN:GET_ESTIMATED_ARRIVAL Will I make it to [SL:DESTINATION Fontana ] [SL:DATE_TIME_ARRIVAL before 9 am ] if I leave [SL:DATE_TIME_DEPARTURE in the next 15 minutes ] ? ]	[IN:GET_ESTIMATED_ARRIVAL Agar mai [SL:DATE_TIME_DEPARTURE agle 15 minutes me ] nikal jaoon to kya mai [SL:DATE_TIME_ARRIVAL 9 am se pehle ] [SL:DESTINATION Fontana ] pahunch jaoonga ]	navigation
Will it be chilly today ?	kya aj thand hogi	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE chilly ] [SL:DATE_TIME today ] ? ]	[IN:GET_WEATHER kya [SL:DATE_TIME aj ] [SL:WEATHER_ATTRIBUTE thand ] hogi ]	weather
Remind Alex to feed and water Miya and to take her out starting Monday	Monday se Alex ko remind kariye to feed and water Miya and to take her out	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED Alex ] to [SL:TODO feed and water Miya and to take her out ] [SL:DATE_TIME starting Monday ] ]	[IN:CREATE_REMINDER [SL:DATE_TIME Monday se ] [SL:PERSON_REMINDED Alex ] ko remind kariye [SL:TODO to feed and water Miya and to take her out ] ]	reminder
Weather for Seattle at 8 am	Seattle ka weather kya he at 8 am	[IN:GET_WEATHER Weather for [SL:LOCATION Seattle ] [SL:DATE_TIME at 8 am ] ]	[IN:GET_WEATHER [SL:LOCATION Seattle ] ka weather kya he [SL:DATE_TIME at 8 am ] ]	weather
Set alarm for 5 pm tonight	Aaj raat 5 pm ka alarm set kardo	[IN:CREATE_ALARM Set alarm [SL:DATE_TIME for 5 pm tonight ] ]	[IN:CREATE_ALARM [SL:DATE_TIME Aaj raat 5 pm ka ] alarm set kardo ]	alarm
How is the traffic today in St . Paul	Aj St . Paul par traffic kaisa hai	[IN:GET_INFO_TRAFFIC How is the traffic [SL:DATE_TIME today ] in [SL:LOCATION St . Paul ] ]	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME Aj ] [SL:LOCATION St . Paul ] par traffic kaisa hai ]	navigation
Remind me to pick up flowers tonight at 7 .	Mujhe aj shaam 7 bajhe flowers pickup karne ke liye yaad dilaye	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO pick up flowers ] [SL:DATE_TIME tonight at 7 ] . ]	[IN:CREATE_REMINDER [SL:PERSON_REMINDED Mujhe ] [SL:DATE_TIME aj shaam 7 bajhe ] [SL:TODO flowers pickup karne ] ke liye yaad dilaye ]	reminder
Make alarms for 9 am and 9 pm tomorrow .	Alarms set kare for 9 am and 9 pm tomorrow .	[IN:CREATE_ALARM Make alarms [SL:DATE_TIME for 9 am and 9 pm tomorrow ] . ]	[IN:CREATE_ALARM Alarms set kare [SL:DATE_TIME for 9 am and 9 pm tomorrow ] . ]	alarm
I don ' t want to hear this	mujhe ye nae sunna hai	[IN:REMOVE_FROM_PLAYLIST_MUSIC I don ' t want to hear this ]	[IN:REMOVE_FROM_PLAYLIST_MUSIC mujhe ye nae sunna hai ]	music
Play some classical music	Kuch classical music bajao	[IN:PLAY_MUSIC Play some [SL:MUSIC_GENRE classical ] [SL:MUSIC_TYPE music ] ]	[IN:PLAY_MUSIC Kuch [SL:MUSIC_GENRE classical ] [SL:MUSIC_TYPE music ] bajao ]	music
Show me what Yoga group said yesterday .	mujhe dikhao kal yoga group ne kya kaha	[IN:GET_MESSAGE Show me what [SL:GROUP Yoga ] group said [SL:DATE_TIME yesterday ] . ]	[IN:GET_MESSAGE mujhe dikhao [SL:DATE_TIME kal ] [SL:GROUP yoga ] group ne kya kaha ]	messaging
Is it windy outside ?	Kya bahar windy he ?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE windy ] outside ? ]	[IN:GET_WEATHER Kya bahar [SL:WEATHER_ATTRIBUTE windy ] he ? ]	weather
hold my alarm off	mera alarm band kardo	[IN:SNOOZE_ALARM hold my alarm off ]	[IN:SNOOZE_ALARM mera alarm band kardo ]	alarm
holiday beer festivals Chicago	Chicago me holiday beer festivals	[IN:GET_EVENT [SL:DATE_TIME holiday ] [SL:CATEGORY_EVENT beer festivals ] [SL:LOCATION Chicago ] ]	[IN:GET_EVENT [SL:LOCATION Chicago ] me [SL:DATE_TIME holiday ] [SL:CATEGORY_EVENT beer festivals ] ]	event
Will it snow this week ?	kya Is hafte snow padegi ?	[IN:GET_WEATHER Will it [SL:WEATHER_ATTRIBUTE snow ] [SL:DATE_TIME this week ] ? ]	[IN:GET_WEATHER kya [SL:DATE_TIME Is hafte ] [SL:WEATHER_ATTRIBUTE snow ] padegi ? ]	weather
Which place is warmer in December , Hawaii or Mexico	Hawai aur Mexico mei se kaunsi jagah garm hoti hai december ke mahine mein	[IN:UNSUPPORTED_WEATHER Which place is [SL:WEATHER_ATTRIBUTE warmer ] [SL:DATE_TIME in December ] , [SL:LOCATION Hawaii ] or Mexico ]	[IN:UNSUPPORTED_WEATHER [SL:LOCATION Hawai ] aur Mexico mei se kaunsi jagah [SL:WEATHER_ATTRIBUTE garm ] hoti hai [SL:DATE_TIME december ke mahine mein ] ]	weather
Set a timer for 5 minutes .	Timer ko 5 minutese liye set kare .	[IN:CREATE_TIMER Set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 5 minutes ] . ]	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer ] ko [SL:DATE_TIME 5 minutese ] liye set kare . ]	timer
what is the distance from baltimore to DC	Baltimore se DC tak ka distance kitna he	[IN:GET_DISTANCE what is the distance from [SL:SOURCE baltimore ] to [SL:DESTINATION DC ] ]	[IN:GET_DISTANCE [SL:SOURCE Baltimore ] se [SL:DESTINATION DC ] tak ka distance kitna he ]	navigation
timer stop	Timer ko stop kare	[IN:PAUSE_TIMER [SL:METHOD_TIMER timer ] stop ]	[IN:PAUSE_TIMER [SL:METHOD_TIMER Timer ] ko stop kare ]	timer
Set an alarm for Thursday 10 : 00 am each Thursday .	Alarm ko set kare for Thursday 10:00 am each Thursday .	[IN:CREATE_ALARM Set an alarm [SL:DATE_TIME_RECURRING for Thursday 10 : 00 am each Thursday ] . ]	[IN:CREATE_ALARM Alarm ko set kare [SL:DATE_TIME_RECURRING for Thursday 10:00 am each Thursday ] . ]	alarm
Tell me the forecast for next weekend in Helsinki .	Mujhe Helsinki mein agley haftey ka forecast bataiye	[IN:GET_WEATHER Tell me the forecast [SL:DATE_TIME for next weekend ] in [SL:LOCATION Helsinki ] . ]	[IN:GET_WEATHER Mujhe [SL:LOCATION Helsinki ] mein [SL:DATE_TIME agley haftey ] ka forecast bataiye ]	weather
check time on alarm	alarm par time check karo	[IN:GET_ALARM check time on alarm ]	[IN:GET_ALARM alarm par time check karo ]	alarm
Show me all of my alarms , please	Please mujhe mere saare alarms dikhao	[IN:GET_ALARM Show me [SL:AMOUNT all ] of my alarms , please ]	[IN:GET_ALARM Please mujhe mere [SL:AMOUNT saare ] alarms dikhao ]	alarm
Remind me about the oil change Friday instead of Wednesday .	Mujhe Wednesday ke bajaaye Friday ko oil change karne ke liye yaad dilayen	[IN:UPDATE_REMINDER_DATE_TIME Remind [SL:PERSON_REMINDED me ] about [SL:TODO the oil change ] [SL:DATE_TIME_NEW Friday ] instead [SL:DATE_TIME of Wednesday ] . ]	[IN:UPDATE_REMINDER_DATE_TIME [SL:PERSON_REMINDED Mujhe ] [SL:DATE_TIME Wednesday ] ke bajaaye [SL:DATE_TIME_NEW Friday ] ko [SL:TODO oil change karne ke liye ] yaad dilayen ]	reminder
set my alarm for when to get Desiree at 2 pm	2 pm ka mera ek alarm set kare to get Desiree	[IN:CREATE_ALARM set my alarm for when to [SL:ALARM_NAME get Desiree ] [SL:DATE_TIME at 2 pm ] ]	[IN:CREATE_ALARM [SL:DATE_TIME 2 pm ] ka mera ek alarm set kare to [SL:ALARM_NAME get Desiree ] ]	alarm
Please tell me the forecast for this week .	Please mujhe is haftey ka forecast bataiye	[IN:GET_WEATHER Please tell me the forecast [SL:DATE_TIME for this week ] . ]	[IN:GET_WEATHER Please mujhe [SL:DATE_TIME is haftey ] ka forecast bataiye ]	weather
What is the highs in Vegas this weekend ?	Is weekend Vegas mei highs kya hai	[IN:GET_WEATHER What is the [SL:WEATHER_ATTRIBUTE highs ] in [SL:LOCATION Vegas ] [SL:DATE_TIME this weekend ] ? ]	[IN:GET_WEATHER [SL:DATE_TIME Is weekend ] [SL:LOCATION Vegas ] mei [SL:WEATHER_ATTRIBUTE highs ] kya hai ]	weather
Set alarm for 7 pm	7 pm ke liye alarm set kare	[IN:CREATE_ALARM Set alarm [SL:DATE_TIME for 7 pm ] ]	[IN:CREATE_ALARM [SL:DATE_TIME 7 pm ] ke liye alarm set kare ]	alarm
play KRRL radio	KKRL radio ko play kare	[IN:PLAY_MUSIC play [SL:MUSIC_RADIO_ID KRRL ] [SL:MUSIC_TYPE radio ] ]	[IN:PLAY_MUSIC [SL:MUSIC_RADIO_ID KKRL ] [SL:MUSIC_TYPE radio ] ko play kare ]	music
Set an alarm at 8 am on every Monday for a month	Alarm se kare at 8 am on every Monday for a month	[IN:CREATE_ALARM Set an alarm [SL:DATE_TIME_RECURRING at 8 am on every Monday ] [SL:DURATION for a month ] ]	[IN:CREATE_ALARM Alarm se kare [SL:DATE_TIME_RECURRING at 8 am on every Monday ] [SL:DURATION for a month ] ]	alarm
Remind me to email my school advisor tomorrow at 2 PM EST .	Mujhe kal dopahar 2 bajhe EST mere school advisor ko email karne ke liye yaad dilaye	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:SEND_MESSAGE email [SL:RECIPIENT my school advisor ] ] ] [SL:DATE_TIME tomorrow at 2 PM EST ] . ]	[IN:CREATE_REMINDER [SL:PERSON_REMINDED Mujhe ] [SL:DATE_TIME kal dopahar 2 bajhe EST ] [SL:TODO [IN:SEND_MESSAGE [SL:RECIPIENT mere school advisor ko email karne ke liye ] ] ] yaad dilaye ]	reminder
How hot is it in downtown Seattle ?	downtown Seattle me kitna hot hai	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it in [SL:LOCATION downtown Seattle ] ? ]	[IN:GET_WEATHER [SL:LOCATION downtown Seattle ] me kitna [SL:WEATHER_ATTRIBUTE hot ] hai ]	weather
Please send Kim a message to go to the Salon tomorrow .	Please Kim ko message bhejen kal Salon jaane ke liye	[IN:SEND_MESSAGE Please send [SL:RECIPIENT Kim ] a message to [SL:CONTENT_EXACT go to the Salon tomorrow ] . ]	[IN:SEND_MESSAGE Please [SL:RECIPIENT Kim ] ko message bhejen [SL:CONTENT_EXACT kal Salon jaane ke liye ] ]	messaging
turn off alarm	alarm ko band kar do	[IN:SILENCE_ALARM turn off alarm ]	[IN:SILENCE_ALARM alarm ko band kar do ]	alarm
how hot is it in VA	VA me kitna hot hai	[IN:GET_WEATHER how [SL:WEATHER_ATTRIBUTE hot ] is it in [SL:LOCATION VA ] ]	[IN:GET_WEATHER [SL:LOCATION VA ] me kitna [SL:WEATHER_ATTRIBUTE hot ] hai ]	weather
Show me all reminders about lunch tomorrow .	Mujhe kal ke lunch ke baare me saare reminders show karo	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] [SL:PERSON_REMINDED me ] [SL:AMOUNT all ] reminders about [SL:TODO lunch ] [SL:DATE_TIME tomorrow ] . ]	[IN:GET_REMINDER [SL:PERSON_REMINDED Mujhe ] [SL:DATE_TIME kal ] ke [SL:TODO lunch ] ke baare me [SL:AMOUNT saare ] reminders [SL:METHOD_RETRIEVAL_REMINDER show ] karo ]	reminder
Is it supposed to snow tonight	kya aaj raat snow padne wali hai	[IN:GET_WEATHER Is it supposed to [SL:WEATHER_ATTRIBUTE snow ] [SL:DATE_TIME tonight ] ]	[IN:GET_WEATHER kya [SL:DATE_TIME aaj raat ] [SL:WEATHER_ATTRIBUTE snow ] padne wali hai ]	weather
Set alarm for an hour from now	abhi se ek ghante ka alarm set kariye	[IN:CREATE_ALARM Set alarm [SL:DATE_TIME for an hour from now ] ]	[IN:CREATE_ALARM [SL:DATE_TIME abhi se ek ghante ka ] alarm set kariye ]	alarm
fast forward to the next song	Next song tak jane ke liye fast forward kijiye	[IN:SKIP_TRACK_MUSIC fast forward to the [SL:ORDINAL next ] [SL:MUSIC_TYPE song ] ]	[IN:SKIP_TRACK_MUSIC [SL:ORDINAL Next ] [SL:MUSIC_TYPE song ] tak jane ke liye fast forward kijiye ]	music
Clear the timer	timer ko clear kare	[IN:DELETE_TIMER Clear the [SL:METHOD_TIMER timer ] ]	[IN:DELETE_TIMER [SL:METHOD_TIMER timer ] ko clear kare ]	timer
update alarm called ' Gym ' to ' Training '	Gym naam ke alarm ko Training me update karen	[IN:UPDATE_ALARM update alarm called ' [SL:ALARM_NAME Gym ] ' to ' [SL:ALARM_NAME Training ] ' ]	[IN:UPDATE_ALARM [SL:ALARM_NAME Gym ] naam ke alarm ko [SL:ALARM_NAME Training ] me update karen ]	alarm
Change the reminder for work to Tuesday	work ke Reminder ko change kare to Tuesday	[IN:UPDATE_REMINDER_DATE_TIME Change the reminder for [SL:TODO work ] [SL:DATE_TIME_NEW to Tuesday ] ]	[IN:UPDATE_REMINDER_DATE_TIME [SL:TODO work ] ke Reminder ko change kare [SL:DATE_TIME_NEW to Tuesday ] ]	reminder
Is construction ongoing on 4th Avenue	kya 4th Avenue par construction chal raha hai	[IN:GET_INFO_TRAFFIC Is construction ongoing on [SL:LOCATION 4th Avenue ] ]	[IN:GET_INFO_TRAFFIC kya [SL:LOCATION 4th Avenue ] par construction chal raha hai ]	navigation
How long will it take me to get to my mom ' s tonight ?	Muje aaj raat meri mom tak pohochne me kitna time lagega ?	[IN:GET_ESTIMATED_DURATION How long will it take me to get to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION mom ] ] ] ' s [SL:DATE_TIME_DEPARTURE tonight ] ? ]	[IN:GET_ESTIMATED_DURATION Muje [SL:DATE_TIME_DEPARTURE aaj raat ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED meri ] [SL:TYPE_RELATION mom ] ] ] tak pohochne me kitna time lagega ? ]	navigation
Remind me to purchase tickets for NKOTB when they go on sale , January 1 .	Mujhe yaad dilayen NKOTB ke tickets khareedne ke liye jab wo sale par ho , Janauary 1 ko .	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO purchase tickets for NKOTB when they go on sale , ] [SL:DATE_TIME January 1 ] . ]	[IN:CREATE_REMINDER [SL:PERSON_REMINDED Mujhe ] yaad dilayen [SL:TODO NKOTB ke tickets khareedne ke liye jab wo sale par ho ] , [SL:DATE_TIME Janauary 1 ko ] . ]	reminder
is it raining now ?	kya abhi barish ho rahi hai	[IN:GET_WEATHER is it [SL:WEATHER_ATTRIBUTE raining ] now ? ]	[IN:GET_WEATHER kya abhi [SL:WEATHER_ATTRIBUTE barish ] ho rahi hai ]	weather
Please delete my garbage alerts	Please mere garbage alerts ko delete kare	[IN:DELETE_ALARM Please delete my [SL:ALARM_NAME garbage ] alerts ]	[IN:DELETE_ALARM Please mere [SL:ALARM_NAME garbage ] alerts ko delete kare ]	alarm
SHOULD I WEAR A COAT TODAY ?	Kya mujhe aj coat pehena chahiye ?	[IN:GET_WEATHER SHOULD I WEAR A [SL:WEATHER_ATTRIBUTE COAT ] [SL:DATE_TIME TODAY ] ? ]	[IN:GET_WEATHER Kya mujhe [SL:DATE_TIME aj ] [SL:WEATHER_ATTRIBUTE coat ] pehena chahiye ? ]	weather
skip this song	is gaaney ko skip kare	[IN:SKIP_TRACK_MUSIC skip this [SL:MUSIC_TYPE song ] ]	[IN:SKIP_TRACK_MUSIC is [SL:MUSIC_TYPE gaaney ] ko skip kare ]	music
Temperature manila tonight Celcius	Aaj raat manila me kitna celcius temperature hoga	[IN:GET_WEATHER Temperature [SL:LOCATION manila ] [SL:DATE_TIME tonight ] [SL:WEATHER_TEMPERATURE_UNIT Celcius ] ]	[IN:GET_WEATHER [SL:DATE_TIME Aaj raat ] [SL:LOCATION manila ] me kitna [SL:WEATHER_TEMPERATURE_UNIT celcius ] temperature hoga ]	weather
Beep me every 10 minutes for the next hour	agley ek ghante ke liye har 10 minute mein mujhe beep kare	[IN:UNSUPPORTED_TIMER Beep me every 10 minutes for the [SL:ORDINAL next ] hour ]	[IN:UNSUPPORTED_TIMER [SL:ORDINAL agley ] ek ghante ke liye har 10 minute mein mujhe beep kare ]	timer
message Ryan can you pick up the kids ? I'm stuck in traffic .	Ryan ko message karo ki can you pick up the kids ? I ' m stuck in traffic .	[IN:SEND_MESSAGE message [SL:RECIPIENT Ryan ] [SL:CONTENT_EXACT can you pick up the kids ? I'm stuck in traffic ] . ]	[IN:SEND_MESSAGE [SL:RECIPIENT Ryan ] ko message karo ki [SL:CONTENT_EXACT can you pick up the kids ? I ' m stuck in traffic ] . ]	messaging
